epoch,mode,layer,size,level,run,reference,input,rsa,pooling
,trained,rnn_top1,256,1,1,phoneme,complete,0.21285739587319255,mean
,trained,rnn_top2,256,1,1,phoneme,complete,0.2587055558977129,mean
,random,rnn_bottom0,256,1,1,phoneme,complete,-0.00018439711990235952,mean
,random,rnn_top0,256,1,1,phoneme,complete,-0.0019074517256762553,mean
,random,rnn_top1,256,1,1,phoneme,complete,-0.0009806491373848454,mean
,random,rnn_top2,256,1,1,phoneme,complete,-0.0013131475102487694,mean
,random,mfcc,256,1,2,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,256,1,2,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,256,1,2,phoneme,complete,0.03267051591150476,mean
,trained,rnn_top0,256,1,2,phoneme,complete,0.1274834837451508,mean
,trained,rnn_top1,256,1,2,phoneme,complete,0.21129621257851075,mean
,trained,rnn_top2,256,1,2,phoneme,complete,0.2588437382753859,mean
,random,rnn_bottom0,256,1,2,phoneme,complete,-0.004343877708721574,mean
,random,rnn_top0,256,1,2,phoneme,complete,-0.002802812341646518,mean
,random,rnn_top1,256,1,2,phoneme,complete,-0.00242485542205117,mean
,random,rnn_top2,256,1,2,phoneme,complete,-0.0023152838853110844,mean
,random,mfcc,256,2,0,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,256,2,0,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,256,2,0,phoneme,complete,0.041913938390721675,mean
,trained,rnn_bottom1,256,2,0,phoneme,complete,0.10673560334158542,mean
,trained,rnn_top0,256,2,0,phoneme,complete,0.1994188477261216,mean
,trained,rnn_top1,256,2,0,phoneme,complete,0.23285246778599128,mean
,random,rnn_bottom0,256,2,0,phoneme,complete,-0.005599463248179541,mean
,random,rnn_bottom1,256,2,0,phoneme,complete,-0.004701563314813552,mean
,random,rnn_top0,256,2,0,phoneme,complete,-0.005624706072089056,mean
,random,rnn_top1,256,2,0,phoneme,complete,-0.005083462693135189,mean
,random,mfcc,256,2,1,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,256,2,1,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,256,2,1,phoneme,complete,0.040632850637740504,mean
,trained,rnn_bottom1,256,2,1,phoneme,complete,0.11081120096217728,mean
,trained,rnn_top0,256,2,1,phoneme,complete,0.1999387830546151,mean
,trained,rnn_top1,256,2,1,phoneme,complete,0.22991312466011965,mean
,random,rnn_bottom0,256,2,1,phoneme,complete,-0.005514989963352584,mean
,random,rnn_bottom1,256,2,1,phoneme,complete,-0.004120296762346595,mean
,random,rnn_top0,256,2,1,phoneme,complete,0.0006409480990190335,mean
,random,rnn_top1,256,2,1,phoneme,complete,0.0011419742531349612,mean
,random,mfcc,256,2,2,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,256,2,2,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,256,2,2,phoneme,complete,0.043811245697568606,mean
,trained,rnn_bottom1,256,2,2,phoneme,complete,0.10348298290825342,mean
,trained,rnn_top0,256,2,2,phoneme,complete,0.19336115993820727,mean
,trained,rnn_top1,256,2,2,phoneme,complete,0.23660131210739446,mean
,random,rnn_bottom0,256,2,2,phoneme,complete,0.0004477196238068575,mean
,random,rnn_bottom1,256,2,2,phoneme,complete,0.0016013960268517733,mean
,random,rnn_top0,256,2,2,phoneme,complete,0.0015401038201470173,mean
,random,rnn_top1,256,2,2,phoneme,complete,0.0014209423527481735,mean
,random,mfcc,256,3,0,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,256,3,0,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,256,3,0,phoneme,complete,0.04012620551479972,mean
,trained,rnn_bottom1,256,3,0,phoneme,complete,0.15022446336061854,mean
,trained,rnn_bottom2,256,3,0,phoneme,complete,0.17942075560204288,mean
,trained,rnn_top0,256,3,0,phoneme,complete,0.20388688024597848,mean
,random,rnn_bottom0,256,3,0,phoneme,complete,-0.001024792381309827,mean
