rsa,mode,layer,reference,size,level,run,input
0.16630806970653048,trained,codebook,word,512,2,1,complete
0.038197965069613246,random,codebook,phoneme,512,2,1,complete
0.006135845652283161,random,codebook,word,512,2,1,complete
0.13899806239657264,trained,codebook,phoneme,512,2,1,trigram
0.11265038079240383,trained,codebook,word,512,2,1,trigram
0.05996119648068391,random,codebook,phoneme,512,2,1,trigram
0.018928798104944085,random,codebook,word,512,2,1,trigram
0.3033341817781581,trained,codebook,phoneme,512,2,2,complete
0.18263441158850607,trained,codebook,word,512,2,2,complete
0.04075342273738542,random,codebook,phoneme,512,2,2,complete
0.006337352468054232,random,codebook,word,512,2,2,complete
0.13692924804585696,trained,codebook,phoneme,512,2,2,trigram
0.11687635116220087,trained,codebook,word,512,2,2,trigram
0.055708993300956064,random,codebook,phoneme,512,2,2,trigram
0.018469250807083195,random,codebook,word,512,2,2,trigram
0.2693356635843476,trained,codebook,phoneme,512,3,0,complete
0.18236059559776743,trained,codebook,word,512,3,0,complete
0.03544671940725447,random,codebook,phoneme,512,3,0,complete
0.014071625589488622,random,codebook,word,512,3,0,complete
0.07887595980620343,trained,codebook,phoneme,512,3,0,trigram
0.05551540578345357,trained,codebook,word,512,3,0,trigram
0.03884128168184053,random,codebook,phoneme,512,3,0,trigram
0.011474737275930614,random,codebook,word,512,3,0,trigram
0.2647122354947163,trained,codebook,phoneme,512,3,1,complete
0.172902573749906,trained,codebook,word,512,3,1,complete
0.02961016095468853,random,codebook,phoneme,512,3,1,complete
0.02194250625603406,random,codebook,word,512,3,1,complete
0.08106215490067321,trained,codebook,phoneme,512,3,1,trigram
0.04827967580469213,trained,codebook,word,512,3,1,trigram
0.050216894355825215,random,codebook,phoneme,512,3,1,trigram
0.01575390521700671,random,codebook,word,512,3,1,trigram
0.2850885710483767,trained,codebook,phoneme,512,3,2,complete
0.19169267622094463,trained,codebook,word,512,3,2,complete
0.025208142189308762,random,codebook,phoneme,512,3,2,complete
0.02456790092235177,random,codebook,word,512,3,2,complete
0.07378425754668899,trained,codebook,phoneme,512,3,2,trigram
0.051803441016921234,trained,codebook,word,512,3,2,trigram
0.04635708503107955,random,codebook,phoneme,512,3,2,trigram
0.015949399298673967,random,codebook,word,512,3,2,trigram
0.2261837362529578,trained,codebook,phoneme,1024,1,0,complete
0.08653591703402448,trained,codebook,word,1024,1,0,complete
0.05869880197265945,random,codebook,phoneme,1024,1,0,complete
0.002744970914811751,random,codebook,word,1024,1,0,complete
0.13906598192977868,trained,codebook,phoneme,1024,1,0,trigram
0.10921583124477491,trained,codebook,word,1024,1,0,trigram
0.06758456000463649,random,codebook,phoneme,1024,1,0,trigram
0.022928222819343487,random,codebook,word,1024,1,0,trigram
0.22342434114423662,trained,codebook,phoneme,1024,1,1,complete
0.0839160538834338,trained,codebook,word,1024,1,1,complete
0.06364843801034656,random,codebook,phoneme,1024,1,1,complete
-0.0016687936487194538,random,codebook,word,1024,1,1,complete
0.13946953404542725,trained,codebook,phoneme,1024,1,1,trigram
